epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.788,1.61667,3.94146,1.82613,0.86267,0.02256,0.05767,0.03112,1.99671,13.3376,1.98462,0.000272708,0.000272708,0.000272708
2,1037.16,1.6381,3.37485,1.83076,0.21916,0.14973,0.091,0.04482,2.23916,12.582,2.17376,0.000539478,0.000539478,0.000539478
3,1522.8,1.71012,3.24929,1.86489,0.29078,0.19085,0.08302,0.03541,2.53243,19.4496,2.55808,0.000795251,0.000795251,0.000795251
4,2006.06,1.70639,3.10619,1.89214,0.23402,0.30678,0.12445,0.04731,2.73324,13.2209,2.60754,0.00078352,0.00078352,0.00078352
5,2487.93,1.67658,2.9275,1.85483,0.24141,0.33759,0.13603,0.05264,2.28337,12.8284,2.23755,0.000767026,0.000767026,0.000767026
6,2998.82,1.6794,2.8485,1.81953,0.27566,0.44695,0.40133,0.18569,2.13223,8.92515,2.19712,0.000750533,0.000750533,0.000750533
7,3489.15,1.6056,2.71229,1.80183,0.6042,0.20019,0.18607,0.09918,2.15955,13.6867,2.2456,0.00073404,0.00073404,0.00073404
8,4034.76,1.58761,2.59251,1.7991,0.29653,0.45154,0.19586,0.11394,2.05429,9.89154,2.12739,0.000717546,0.000717546,0.000717546
9,4670.94,1.5641,2.59142,1.77188,0.38382,0.22218,0.24528,0.13503,2.07222,9.00378,2.12382,0.000701053,0.000701053,0.000701053
10,5303.35,1.55462,2.46059,1.76412,0.24218,0.24946,0.20195,0.09738,1.97395,7.91955,2.02222,0.000684559,0.000684559,0.000684559
11,5883.77,1.55074,2.43054,1.75911,0.35899,0.22926,0.25956,0.12715,1.99904,6.13595,1.99405,0.000668066,0.000668066,0.000668066
12,6502.05,1.49897,2.28788,1.73167,0.45204,0.32101,0.27516,0.10747,2.02667,5.77122,2.0544,0.000651573,0.000651573,0.000651573
13,7056.63,1.52881,2.30643,1.72808,0.24162,0.34323,0.22397,0.10833,2.20729,7.32153,2.13741,0.000635079,0.000635079,0.000635079
14,7714,1.47436,2.20579,1.69529,0.27602,0.47368,0.3644,0.16421,1.92103,8.35111,1.99769,0.000618586,0.000618586,0.000618586
15,8436.6,1.43202,2.15715,1.65452,0.33869,0.43735,0.39374,0.17976,2.0112,4.33202,1.99767,0.000602092,0.000602092,0.000602092
16,9071.54,1.41563,2.07154,1.658,0.44919,0.52946,0.40741,0.18893,1.83755,5.35827,1.88202,0.000585599,0.000585599,0.000585599
17,9562.94,1.4441,2.10576,1.66877,0.2579,0.40619,0.29111,0.15055,1.92827,4.48063,1.95679,0.000569106,0.000569106,0.000569106
18,10062.1,1.4149,2.05935,1.63997,0.41356,0.41777,0.3831,0.17628,2.16138,6.98014,2.13284,0.000552612,0.000552612,0.000552612
