epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.933,1.64609,3.68292,1.84903,0.00368,0.77111,0.09306,0.04075,1.86331,9.72517,1.9548,0.000361721,0.000361721,0.000361721
2,541.999,1.68326,3.21773,1.86211,0.34342,0.10444,0.0991,0.05567,2.45804,13.8992,2.7751,0.00071756,0.00071756,0.00071756
3,809.364,1.77581,3.12614,1.92427,0.86882,0.1,0.11949,0.05055,2.73812,13.3509,2.74686,0.00105873,0.00105873,0.00105873
4,1137.22,1.79218,2.99773,1.94252,0.47622,0.33443,0.31471,0.11821,2.43889,19.7794,2.52751,0.00104501,0.00104501,0.00104501
5,1465.08,1.78038,2.85644,1.93549,0.81258,0.22266,0.33005,0.14171,2.24241,11.0281,2.41245,0.00102301,0.00102301,0.00102301
6,1817.84,1.74466,2.69808,1.88355,0.26804,0.34667,0.22497,0.07947,2.2719,11.8339,2.43111,0.00100101,0.00100101,0.00100101
7,2166.66,1.72881,2.65723,1.87986,0.5467,0.33111,0.35037,0.212,2.20784,9.02422,2.231,0.000979013,0.000979013,0.000979013
8,2523.64,1.69896,2.50238,1.85275,0.53957,0.23299,0.28753,0.0825,2.16737,11.9102,2.26079,0.000957015,0.000957015,0.000957015
9,2879.33,1.66581,2.42177,1.80993,0.2401,0.38667,0.28031,0.12655,2.15215,10.7594,2.15377,0.000935018,0.000935018,0.000935018
10,3212.4,1.66929,2.37938,1.8201,0.71854,0.28947,0.31402,0.13682,1.97545,6.72184,2.08009,0.00091302,0.00091302,0.00091302
11,3507.03,1.63795,2.29965,1.79867,0.43536,0.33778,0.3042,0.16252,1.94133,6.00011,1.99132,0.000891022,0.000891022,0.000891022
12,3795.76,1.54993,2.23459,1.73883,0.38946,0.40143,0.39676,0.20211,2.02749,6.48589,2.07945,0.000869024,0.000869024,0.000869024
13,4083.24,1.57929,2.18891,1.74388,0.69246,0.30667,0.39341,0.13468,2.05233,7.08215,2.21698,0.000847026,0.000847026,0.000847026
14,4372.45,1.54383,2.15049,1.74418,0.45338,0.43556,0.44171,0.19763,1.90011,5.2932,2.00692,0.000825029,0.000825029,0.000825029
15,4647.37,1.52718,2.05906,1.69379,0.58494,0.45149,0.49927,0.2133,1.89488,4.8886,2.03624,0.000803031,0.000803031,0.000803031
16,4940.44,1.54636,2.07237,1.72508,0.27536,0.54218,0.33715,0.14124,2.00076,4.97768,2.1023,0.000781033,0.000781033,0.000781033
17,5221.5,1.48115,1.96198,1.66776,0.81791,0.36667,0.55037,0.26906,2.06612,6.43105,2.092,0.000759035,0.000759035,0.000759035
18,5474.6,1.52625,1.95444,1.69542,0.48743,0.40154,0.34158,0.18375,2.13514,5.80923,2.08735,0.000737037,0.000737037,0.000737037
19,5722.32,1.45813,1.95632,1.64432,0.76055,0.43511,0.47449,0.21533,1.8374,5.33553,1.8807,0.00071504,0.00071504,0.00071504
20,5974.07,1.49662,1.90517,1.66319,0.45293,0.65894,0.56406,0.32341,1.73507,6.72164,1.81566,0.000693042,0.000693042,0.000693042
